STNAME	CTYNAME	CENSUS2010POP
Iowa	Harrison	14928
Iowa	Henry	20145
Iowa	Howard	9566
Iowa	Humboldt	9815
Iowa	Ida	7089
Iowa	Iowa	16355
Iowa	Jackson	19848
Iowa	Jasper	36842
Iowa	Jefferson	16843
Iowa	Johnson	130882
Iowa	Jones	20638
Iowa	Keokuk	10511
Iowa	Kossuth	15543
Iowa	Lee	35862
Iowa	Linn	211226
Iowa	Louisa	11387
Iowa	Lucas	8898
Iowa	Lyon	11581
Iowa	Madison	15679
Iowa	Mahaska	22381
Iowa	Marion	33309
Iowa	Marshall	40648
Iowa	Mills	15059
Iowa	Mitchell	10776
Iowa	Monona	9243
Iowa	Monroe	7970
Iowa	Montgomery	10740
Iowa	Muscatine	42745
Iowa	O'Brien	14398
Iowa	Osceola	6462
Iowa	Page	15932
Iowa	Palo Alto	9421
Iowa	Plymouth	24986
Iowa	Pocahontas	7310
Iowa	Polk	430640
Iowa	Pottawattamie	93158
Iowa	Poweshiek	18914
Iowa	Ringgold	5131
Iowa	Sac	10350
Iowa	Scott	165224
Iowa	Shelby	12167
Iowa	Sioux	33704
Iowa	Story	89542
Iowa	Tama	17767
Iowa	Taylor	6317
Iowa	Union	12534
Iowa	Van Buren	7570
Iowa	Wapello	35625
Iowa	Warren	46225
Iowa	Washington	21704
Iowa	Wayne	6403
Iowa	Webster	38013
Iowa	Winnebago	10866
Iowa	Winneshiek	21056
Iowa	Woodbury	102172
Iowa	Worth	7598
Iowa	Wright	13229
Kansas	Kansas	2853118
Kansas	Allen	13371
Kansas	Anderson	8102
Kansas	Atchison	16924
Kansas	Barber	4861
Kansas	Barton	27674
Kansas	Bourbon	15173
Kansas	Brown	9984
Kansas	Butler	65880
Kansas	Chase	2790
Kansas	Chautauqua	3669
Kansas	Cherokee	21603
Kansas	Cheyenne	2726
Kansas	Clark	2215
Kansas	Clay	8535
Kansas	Cloud	9533
Kansas	Coffey	8601
Kansas	Comanche	1891
Kansas	Cowley	36311
Kansas	Crawford	39134
Kansas	Decatur	2961
Kansas	Dickinson	19754
Kansas	Doniphan	7945
Kansas	Douglas	110826
Kansas	Edwards	3037
Kansas	Elk	2882
Kansas	Ellis	28452
Kansas	Ellsworth	6497
Kansas	Finney	36776
Kansas	Ford	33848
Kansas	Franklin	25992
Kansas	Geary	34362
Kansas	Gove	2695
Kansas	Graham	2597
Kansas	Grant	7829
Kansas	Gray	6006
Kansas	Greeley	1247
Kansas	Greenwood	6689
Kansas	Hamilton	2690
Kansas	Harper	6034
Kansas	Harvey	34684
Kansas	Haskell	4256
Kansas	Hodgeman	1916
Kansas	Jackson	13462
Kansas	Jefferson	19126
Kansas	Jewell	3077
Kansas	Johnson	544179
Kansas	Kearny	3977
Kansas	Kingman	7858
Kansas	Kiowa	2553
Kansas	Labette	21607
Kansas	Lane	1750
Kansas	Leavenworth	76227
Kansas	Lincoln	3241
Kansas	Linn	9656
Kansas	Logan	2756
Kansas	Lyon	33690
Kansas	McPherson	29180
Kansas	Marion	12660
Kansas	Marshall	10117
Kansas	Meade	4575
Kansas	Miami	32787
Kansas	Mitchell	6373
Kansas	Montgomery	35471
Kansas	Morris	5923
Kansas	Morton	3233
Kansas	Nemaha	10178
Kansas	Neosho	16512
Kansas	Ness	3107
Kansas	Norton	5671
Kansas	Osage	16295
Kansas	Osborne	3858
Kansas	Ottawa	6091
Kansas	Pawnee	6973
Kansas	Phillips	5642
Kansas	Pottawatomie	21604
Kansas	Pratt	9656
Kansas	Rawlins	2519
Kansas	Reno	64511
Kansas	Republic	4980
Kansas	Rice	10083
Kansas	Riley	71115
Kansas	Rooks	5181
Kansas	Rush	3307
Kansas	Russell	6970
Kansas	Saline	55606
Kansas	Scott	4936
Kansas	Sedgwick	498365
Kansas	Seward	22952
Kansas	Shawnee	177934
Kansas	Sheridan	2556
Kansas	Sherman	6010
Kansas	Smith	3853
Kansas	Stafford	4437
Kansas	Stanton	2235
Kansas	Stevens	5724
Kansas	Sumner	24132
Kansas	Thomas	7900
Kansas	Trego	3001
Kansas	Wabaunsee	7053
Kansas	Wallace	1485
Kansas	Washington	5799
Kansas	Wichita	2234
Kansas	Wilson	9409
Kansas	Woodson	3309
Kansas	Wyandotte	157505
Kentucky	Kentucky	4339367
Kentucky	Adair	18656
Kentucky	Allen	19956
Kentucky	Anderson	21421
Kentucky	Ballard	8249
Kentucky	Barren	42173
Kentucky	Bath	11591
Kentucky	Bell	28691
Kentucky	Boone	118811
Kentucky	Bourbon	19985
Kentucky	Boyd	49542
Kentucky	Boyle	28432
Kentucky	Bracken	8488
Kentucky	Breathitt	13878
Kentucky	Breckinridge	20059
Kentucky	Bullitt	74319
Kentucky	Butler	12690
Kentucky	Caldwell	12984
Kentucky	Calloway	37191
Kentucky	Campbell	90336
Kentucky	Carlisle	5104
Kentucky	Carroll	10811
Kentucky	Carter	27720
Kentucky	Casey	15955
Kentucky	Christian	73955
Kentucky	Clark	35613
Kentucky	Clay	21730
Kentucky	Clinton	10272
Kentucky	Crittenden	9315
Kentucky	Cumberland	6856
Kentucky	Daviess	96656
Kentucky	Edmonson	12161
Kentucky	Elliott	7852
Kentucky	Estill	14672
Kentucky	Fayette	295803
Kentucky	Fleming	14348
Kentucky	Floyd	39451
Kentucky	Franklin	49285
Kentucky	Fulton	6813
Kentucky	Gallatin	8589
Kentucky	Garrard	16912
Kentucky	Grant	24662
Kentucky	Graves	37121
Kentucky	Grayson	25746
Kentucky	Green	11258
Kentucky	Greenup	36910
Kentucky	Hancock	8565
